bps,defensive_contribution,element,expected_assists,expected_goals,expected_goals_conceded,fixture,minutes,opponent_team,round,starts,total_points,ict_index
-1,1,10,0.0,0.0,0.66,9,18,14,1,0,0,0.0
7,1,10,0.0,0.0,0.0,11,26,11,2,0,1,0.8
0,0,10,0.0,0.0,0.0,25,0,12,3,0,0,0.0
3,0,10,0.0,0.0,0.1,31,22,16,4,0,1,0.1
0,0,10,0.0,0.0,0.0,41,0,13,5,0,0,0.0
2,0,10,0.0,0.0,0.04,58,2,15,6,0,1,0.2
2,2,10,0.0,0.0,0.13,61,15,19,7,0,1,0.6
0,0,10,0.0,0.0,0.0,74,0,10,8,0,0,0.0
3,0,10,0.0,0.0,0.01,81,2,8,9,0,1,0.1
8,4,19,0.01,0.02,0.7,9,59,14,1,1,1,3.8
0,0,19,0.0,0.0,0.0,11,0,11,2,0,0,0.0
9,3,19,0.0,0.0,0.28,25,69,12,3,1,3,0.8
4,1,19,0.0,0.0,0.1,31,12,16,4,0,1,0.6
22,0,19,0.0,0.16,0.25,41,10,13,5,0,7,5.0
5,3,19,0.01,0.05,0.08,58,20,15,6,0,1,0.7
3,2,19,0.06,0.0,0.13,61,11,19,7,0,1,1.8
3,2,19,0.0,0.52,0.04,74,9,10,8,0,1,4.5
2,1,19,0.0,0.0,0.39,81,24,8,9,0,1,0.3
33,4,7,0.01,0.91,0.87,9,71,14,1,1,13,7.3
38,1,7,0.01,0.39,0.17,11,63,11,2,1,13,8.1
9,7,7,0.01,0.13,0.52,25,90,12,3,1,2,2.3
16,3,7,0.01,0.0,0.1,31,67,16,4,1,5,2.0
7,5,7,0.05,0.14,0.89,41,90,13,5,1,2,2.9
0,3,7,0.04,0.1,0.53,58,69,15,6,1,1,3.0
26,6,7,0.02,0.17,0.36,61,74,19,7,1,6,3.3
26,5,7,0.02,0.04,0.44,74,90,10,8,1,6,3.0
26,1,7,0.02,0.07,0.46,81,81,8,9,1,6,1.0
0,0,15,0.0,0.0,0.0,9,0,14,1,0,0,0.0
0,0,15,0.0,0.0,0.0,11,0,11,2,0,0,0.0
0,0,15,0.0,0.0,0.0,25,0,12,3,0,0,0.0
0,0,15,0.0,0.0,0.0,31,0,16,4,0,0,0.0
0,0,15,0.0,0.0,0.0,41,0,13,5,0,0,0.0
0,0,15,0.0,0.0,0.0,58,0,15,6,0,0,0.0
0,0,15,0.0,0.0,0.0,61,0,19,7,0,0,0.0
0,0,15,0.0,0.0,0.0,74,0,10,8,0,0,0.0
0,0,15,0.0,0.0,0.0,81,0,8,9,0,0,0.0
0,0,20,0.0,0.0,0.0,9,0,14,1,0,0,0.0
4,0,20,0.03,0.07,0.0,11,37,11,2,0,1,3.1
0,0,20,0.0,0.0,0.0,25,0,12,3,0,0,0.0
12,0,20,0.26,0.0,0.1,31,11,16,4,0,4,3.2
13,4,20,0.07,0.14,0.89,41,83,13,5,1,2,2.9
5,2,20,0.12,0.33,0.58,58,87,15,6,1,2,3.1
16,4,20,0.09,0.12,0.36,61,74,19,7,1,3,5.9
28,6,20,0.07,0.6,0.4,74,80,10,8,1,10,10.7
4,7,20,0.05,0.34,0.47,81,90,8,9,1,3,4.6
0,0,14,0.0,0.0,0.0,9,0,14,1,0,0,0.0
0,0,14,0.0,0.0,0.0,11,0,11,2,0,0,0.0
0,0,14,0.0,0.0,0.0,25,0,12,3,0,0,0.0
0,0,14,0.0,0.0,0.0,31,0,16,4,0,0,0.0
0,0,14,0.0,0.0,0.0,41,0,13,5,0,0,0.0
0,0,14,0.0,0.0,0.0,58,0,15,6,0,0,0.0
0,0,14,0.0,0.0,0.0,61,0,19,7,0,0,0.0
0,0,14,0.0,0.0,0.0,74,0,10,8,0,0,0.0
0,0,14,0.0,0.0,0.0,81,0,8,9,0,0,0.0
0,0,4,0.0,0.0,0.0,9,0,14,1,0,0,0.0
0,0,4,0.0,0.0,0.0,11,0,11,2,0,0,0.0
