code,id,first_name,second_name,web_name,selected_by_percent,team,team_code,status,news
154561,1,David,Raya Martín,Raya,30.4,1,3,a,
109745,2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,0.5,1,3,a,
463748,3,Karl,Hein,Hein,0.3,1,3,u,Has joined Werder Bremen on loan for the rest of the season.
551221,4,Tommy,Setford,Setford,0.2,1,3,a,
226597,5,Gabriel,dos Santos Magalhães,Gabriel,38.4,1,3,a,
462424,6,William,Saliba,Saliba,11.9,1,3,d,Knock - 75% chance of playing
466075,7,Riccardo,Calafiori,Calafiori,15.8,1,3,a,
445122,8,Jurriën,Timber,J.Timber,24.5,1,3,a,
440854,9,Jakub,Kiwior,Kiwior,0.1,1,3,u,has joined Porto on loan for the rest of the season.
499169,10,Myles,Lewis-Skelly,Lewis-Skelly,1.7,1,3,a,
198869,11,Benjamin,White,White,0.4,1,3,a,
563324,13,Brayden,Clarke,Clarke,0.5,1,3,a,
588793,14,Maldini,Kacurri,Kacurri,0.1,1,3,u,has joined Morecambe on loan for the rest of the season.
499167,15,Josh,Nichols,Nichols,0.2,1,3,a,
223340,16,Bukayo,Saka,Saka,17.2,1,3,a,
184029,17,Martin,Ødegaard,Ødegaard,1.4,1,3,i,Knee injury - Expected back 23 Nov
248857,18,Noni,Madueke,Madueke,0.6,1,3,i,Knee injury - Expected back 23 Nov
444145,19,Gabriel,Martinelli Silva,Martinelli,1.1,1,3,d,Knock - 25% chance of playing
116216,20,Leandro,Trossard,Trossard,0.5,1,3,a,
204480,21,Declan,Rice,Rice,14.2,1,3,a,
195384,22,Mikel,Merino Zazón,Merino,0.6,1,3,a,
438098,23,Fábio,Ferreira Vieira,Fábio Vieira,0.0,1,3,u,has joined Hamburger on loan for the rest of the season.
128295,24,Christian,Nørgaard,Nørgaard,0.1,1,3,a,
499175,25,Ethan,Nwaneri,Nwaneri,0.1,1,3,a,
481655,26,Martín,Zubimendi Ibáñez,Zubimendi,3.8,1,3,a,
588796,28,Ismeal,Kabia,Kabia,0.1,1,3,u,has joined Shrewsbury Town on loan for the rest of the season.
437742,29,Albert,Sambi Lokonga,Sambi,0.1,1,3,u,has joined Hamburger permanently.
219847,30,Kai,Havertz,Havertz,0.3,1,3,i,Knee injury - Expected back 23 Nov
205651,31,Gabriel,Fernando de Jesus,G.Jesus,0.0,1,3,i,Knee injury - Expected back 30 Dec
232413,266,Eberechi,Eze,Eze,14.1,1,3,a,
500040,662,Cristhian,Mosquera,Mosquera,0.2,1,3,a,
224117,666,Viktor,Gyökeres,Gyökeres,21.6,1,3,a,
616077,700,Max,Dowman,Dowman,0.3,1,3,a,
646243,711,Andre,Harriman-Annous,Harriman-Annous,0.0,1,3,a,
448104,725,Piero,Hincapié,Hincapie,0.0,1,3,a,
98980,32,Emiliano,Martínez Romero,Martinez,2.0,2,7,a,
72147,33,Marco,Bizot,M.Bizot,0.5,2,7,a,
462492,34,Joe,Gauci,Gauci,0.1,2,7,u,Has joined Port Vale on loan for the rest of the season.
462381,35,Filip,Marschall,Marschall,0.0,2,7,u,Has joined Stevenage permanently.
199796,36,Matty,Cash,Cash,5.1,2,7,a,
101188,37,Lucas,Digne,Digne,1.6,2,7,a,
199798,38,Ezri,Konsa Ngoyo,Konsa,8.7,2,7,a,
441302,39,Ian,Maatsen,Maatsen,0.5,2,7,a,
149484,40,Tyrone,Mings,Mings,0.9,2,7,a,
244954,41,Pau,Torres,Pau,0.3,2,7,a,
606798,42,Andrés,García,A.García,0.3,2,7,i,Knock - Unknown return date
